power_mW,S_estimate,fidelity_Bell_tomography,E_hv
20,2.803773941064219,0.9912629417999047,-0.9914335010835287
50,2.797618478715947,0.9901127249814069,-0.9892568878062047
100,2.7881328018949723,0.9875729583821381,-0.9859026880816735
150,2.7810607784756636,0.9854215930867155,-0.9834019725868683
200,2.771883773987579,0.9832570493341668,-0.9801569214949005
250,2.7652768861071184,0.9812720085613109,-0.9778206810845539
